itr,loss
0,289.780334473
1,279.295837402
2,296.704040527
3,270.441009521
4,296.242004395
5,342.69732666
6,292.541687012
7,323.533447266
8,307.460479736
9,327.555480957
10,310.232086182
11,361.759460449
12,257.723632812
13,284.899169922
14,303.316619873
15,343.532897949
16,284.163238525
17,260.171661377
18,228.618804932
19,229.326889038
20,260.98815918
21,309.936950684
22,266.810333252
23,256.239929199
24,256.676940918
25,257.546295166
26,305.404937744
27,268.886199951
28,260.588012695
29,292.999328613
30,226.78742981
31,338.699676514
32,295.107543945
33,323.533874512
34,246.692504883
35,333.322998047
36,279.754882812
37,265.014129639
38,262.022644043
39,258.479278564
40,291.708648682
41,258.954437256
42,238.511459351
43,239.803237915
44,341.364440918
45,291.759033203
46,326.33505249
47,400.028259277
48,291.443725586
49,423.766448975
50,305.511047363
51,299.662811279
52,267.743377686
53,279.295257568
54,304.78427124
55,370.99420166
56,317.194396973
57,325.463012695
58,239.313018799
59,276.383056641
60,293.686706543
61,421.518768311
62,262.204498291
63,390.638427734
64,334.994140625
65,340.643676758
66,234.994491577
67,272.001647949
68,241.267196655
69,317.566864014
70,259.976074219
71,251.684402466
72,275.463409424
73,320.484313965
74,361.334747314
75,253.201339722
76,358.750579834
77,299.080169678
78,263.777038574
79,355.187835693
80,262.091766357
81,346.845489502
82,209.813995361
83,296.014801025
84,344.433105469
85,301.917755127
86,259.187225342
87,257.381958008
88,276.334106445
89,323.686706543
90,346.040435791
91,283.765716553
92,249.107559204
93,268.853820801
94,278.9815979
95,291.380706787
96,314.124328613
97,308.542053223
98,239.615493774
99,241.533096313
100,245.861434937
101,211.015777588
102,257.667877197
103,265.966766357
104,231.322265625
105,301.859802246
106,262.361236572
107,309.238128662
108,422.136871338
109,255.418716431
110,391.212219238
111,292.03616333
112,279.473083496
113,262.108062744
114,266.512390137
115,270.114105225
116,281.106292725
117,231.67578125
118,228.665634155
119,459.303344727
120,305.312988281
121,374.788452148
122,367.462921143
123,288.215393066
124,403.432678223
125,398.787445068
126,282.587341309
127,279.212646484
128,402.123748779
129,340.389312744
130,388.318634033
131,336.76763916
132,305.404785156
133,270.582550049
134,266.647277832
135,284.304199219
136,363.478973389
137,342.375671387
138,381.445007324
139,445.116882324
140,320.244934082
141,284.53616333
142,419.246948242
143,472.621459961
144,305.32434082
145,282.726715088
146,313.006988525
147,399.246124268
148,333.9765625
149,1018.00616455
150,388.561431885
151,357.693023682
152,345.734771729
153,297.728240967
154,355.969787598
155,263.814331055
156,537.259338379
157,413.746765137
158,323.00970459
159,269.567810059
160,374.911102295
161,452.700073242
162,320.751312256
163,367.876495361
164,432.814788818
165,271.241729736
166,385.695800781
167,312.62310791
168,328.132507324
169,404.384338379
170,323.257293701
171,297.452056885
172,280.279449463
173,300.774963379
174,321.785675049
175,306.62210083
176,302.934997559
177,1083.56030273
178,278.978820801
179,299.195159912
180,317.992645264
181,366.982666016
182,463.131072998
183,326.533538818
184,407.490509033
185,290.358398438
186,367.130523682
187,302.55947876
188,311.312652588
189,399.95690918
190,279.003356934
191,349.28729248
192,364.312164307
193,315.927734375
194,270.63079834
195,349.755279541
196,310.30090332
197,312.50958252
198,305.77633667
199,264.519958496
200,271.115570068
201,260.912567139
202,299.552490234
203,326.492523193
204,237.03994751
205,348.67578125
206,241.677261353
207,236.389389038
208,325.37197876
209,272.216156006
210,302.735992432
211,300.572235107
212,273.462738037
213,267.739685059
214,300.976165771
215,284.23324585
216,284.961578369
217,326.217437744
218,279.003662109
219,288.320617676
220,262.286254883
221,258.981384277
222,256.599884033
223,333.854644775
224,297.049591064
225,237.574523926
226,324.166625977
227,315.327056885
228,257.094818115
229,334.996795654
230,233.201278687
231,338.466644287
232,324.043365479
233,279.220214844
234,278.762634277
235,303.072357178
236,346.427154541
237,402.892211914
238,340.718414307
239,297.795684814
240,269.422576904
241,251.66583252
242,298.395446777
243,243.752548218
244,322.650512695
245,386.202819824
246,284.204650879
247,297.214416504
248,336.55090332
249,435.958953857
250,402.235168457
251,326.284759521
252,395.54864502
253,271.241668701
254,251.678237915
255,320.313964844
256,331.125701904
257,368.569702148
258,336.966400146
259,316.081085205
260,306.769622803
261,275.034576416
262,447.632415771
263,282.959197998
264,287.666137695
265,445.798126221
266,286.323394775
267,370.866149902
268,498.221496582
269,303.903747559
270,317.361846924
271,264.540588379
272,359.807739258
273,353.041381836
274,275.687255859
275,305.069549561
276,388.729125977
277,369.038421631
278,247.374435425
279,339.36038208
280,308.360961914
281,253.636856079
282,268.91293335
283,300.509063721
284,478.031860352
285,273.328918457
286,374.58291626
287,348.362304688
288,325.843353271
289,524.707641602
290,666.274475098
291,279.821533203
292,436.339050293
293,395.310760498
294,326.410949707
295,462.568237305
296,547.010864258
297,320.13885498
298,397.799743652
299,472.763336182
300,450.867004395
301,382.138671875
302,930.263671875
303,316.811248779
304,399.865631104
305,306.950531006
306,383.993438721
307,339.604156494
308,349.79284668
309,403.154052734
310,369.394470215
311,428.170196533
312,334.36138916
313,277.516815186
314,287.25
315,344.296813965
316,350.755340576
317,256.824493408
318,302.547393799
319,315.707275391
320,306.649169922
321,283.57119751
322,313.558380127
323,296.684204102
324,349.915527344
325,338.062683105
326,336.529266357
327,306.987548828
328,283.970581055
329,324.066467285
330,334.349945068
331,353.270172119
332,299.344818115
333,365.567169189
334,310.616638184
335,287.905487061
336,325.603057861
337,257.231811523
338,287.310333252
339,254.457199097
340,297.932983398
341,292.918457031
342,1101.45935059
343,339.67980957
344,293.880279541
345,281.110656738
346,241.508834839
347,240.251815796
348,304.57019043
349,228.163024902
350,1090.36828613
351,298.106781006
352,344.397125244
353,273.389373779
354,292.835418701
355,333.159515381
356,303.194946289
357,310.442077637
358,290.598876953
359,404.559143066
360,256.592010498
361,280.035186768
362,363.005859375
363,348.22555542
364,285.861053467
365,421.277618408
366,289.827728271
367,340.267944336
368,282.881561279
369,329.853820801
370,254.727798462
371,325.291564941
372,399.493438721
373,369.579345703
374,322.859283447
375,303.29876709
376,420.953186035
377,226.518432617
378,386.662597656
379,277.540679932
380,244.387390137
381,337.764343262
